time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.005,0.063,0.059,-0.034,-0.029,0.059,0.029,-0.02,0.068,0.049,0.059,0.049
0.002,0.01,0.054,0.044,-0.029,-0.02,0.049,0.024,-0.024,0.063,0.039,0.054,0.044
0.004,0.005,0.044,0.039,-0.024,-0.02,0.039,0.024,-0.024,0.059,0.024,0.044,0.039
0.006,0.0,0.034,0.034,-0.015,-0.02,0.034,0.034,-0.029,0.049,0.015,0.039,0.039
0.008,-0.02,0.015,0.034,0.005,-0.029,0.024,0.034,-0.029,0.039,0.01,0.029,0.024
0.01,-0.02,0.02,0.039,0.0,-0.029,0.029,0.039,-0.034,0.024,0.0,0.02,0.02
0.012,-0.015,0.015,0.029,0.0,-0.024,0.02,0.039,-0.039,0.005,-0.024,0.005,0.015
0.014,0.01,0.024,0.015,-0.015,-0.005,0.02,0.039,-0.044,0.0,-0.029,0.0,0.01
0.016,0.01,0.029,0.02,-0.02,-0.005,0.024,0.039,-0.049,-0.015,-0.039,-0.005,0.01
0.018,0.015,0.024,0.01,-0.02,0.0,0.015,0.024,-0.063,-0.029,-0.059,-0.015,0.0
0.02,-0.024,0.02,0.044,0.005,-0.034,0.029,0.039,-0.054,-0.02,-0.054,-0.005,0.005
0.022,-0.034,0.015,0.049,0.01,-0.044,0.029,0.039,-0.063,-0.029,-0.059,-0.01,0.0
0.024,-0.01,0.01,0.02,0.0,-0.015,0.015,0.034,-0.068,-0.039,-0.063,-0.024,-0.01
0.026,-0.015,0.01,0.024,0.005,-0.02,0.015,0.029,-0.068,-0.034,-0.063,-0.02,-0.015
0.028,-0.02,-0.01,0.01,0.015,-0.015,0.0,0.029,-0.073,-0.039,-0.073,-0.029,-0.024
0.03,-0.005,-0.01,-0.005,0.01,0.0,-0.01,0.029,-0.078,-0.049,-0.073,-0.039,-0.024
0.032,-0.015,0.0,0.015,0.01,-0.015,0.005,0.039,-0.068,-0.049,-0.073,-0.034,-0.015
0.034,-0.024,0.0,0.024,0.015,-0.024,0.01,0.039,-0.073,-0.054,-0.073,-0.039,-0.02
0.036,-0.02,-0.01,0.01,0.015,-0.015,0.0,0.034,-0.083,-0.059,-0.088,-0.044,-0.02
0.038,-0.024,-0.01,0.015,0.02,-0.02,0.0,0.029,-0.088,-0.068,-0.098,-0.054,-0.024
0.04,-0.02,0.0,0.02,0.01,-0.02,0.01,0.024,-0.083,-0.063,-0.088,-0.039,-0.01
0.042,-0.029,-0.015,0.015,0.024,-0.024,0.0,0.024,-0.083,-0.063,-0.083,-0.034,-0.01
0.044,-0.034,-0.024,0.01,0.029,-0.024,-0.01,0.029,-0.083,-0.068,-0.088,-0.039,-0.01
0.046,-0.02,-0.015,0.005,0.02,-0.015,-0.005,0.034,-0.083,-0.068,-0.088,-0.034,-0.01
0.048,-0.015,-0.02,-0.005,0.02,-0.005,-0.015,0.034,-0.083,-0.068,-0.088,-0.034,-0.02
0.05,-0.024,-0.024,0.0,0.024,-0.015,-0.015,0.034,-0.088,-0.078,-0.093,-0.039,-0.024
0.052,-0.024,-0.015,0.01,0.02,-0.02,-0.005,0.039,-0.078,-0.068,-0.093,-0.034,-0.015
0.054,-0.024,-0.015,0.01,0.02,-0.02,-0.005,0.034,-0.083,-0.073,-0.093,-0.039,-0.02
0.056,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.029,-0.088,-0.078,-0.098,-0.049,-0.029
0.058,-0.024,-0.01,0.015,0.02,-0.02,0.0,0.024,-0.093,-0.088,-0.107,-0.059,-0.029
0.06,-0.029,-0.015,0.015,0.024,-0.024,0.0,0.02,-0.093,-0.088,-0.107,-0.059,-0.039
0.062,-0.034,-0.01,0.024,0.024,-0.029,0.005,0.029,-0.093,-0.078,-0.102,-0.054,-0.034
0.064,-0.034,-0.01,0.024,0.024,-0.029,0.005,0.029,-0.088,-0.073,-0.102,-0.054,-0.029
0.066,-0.024,-0.015,0.01,0.02,-0.02,-0.005,0.024,-0.088,-0.083,-0.102,-0.054,-0.034
0.068,-0.02,-0.024,-0.005,0.024,-0.01,-0.015,0.024,-0.088,-0.078,-0.107,-0.054,-0.044
0.07,-0.029,-0.029,0.0,0.029,-0.015,-0.015,0.024,-0.088,-0.083,-0.112,-0.059,-0.044
0.072,-0.044,-0.034,0.01,0.039,-0.029,-0.015,0.024,-0.078,-0.088,-0.117,-0.063,-0.044
0.074,-0.024,-0.024,0.0,0.024,-0.015,-0.015,0.024,-0.083,-0.093,-0.117,-0.054,-0.044
0.076,-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.024,-0.083,-0.083,-0.117,-0.059,-0.044
0.078,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.029,-0.083,-0.088,-0.117,-0.059,-0.039
0.08,-0.01,-0.01,0.0,0.01,-0.005,-0.005,0.024,-0.083,-0.088,-0.117,-0.059,-0.039
0.082,-0.029,-0.024,0.005,0.029,-0.02,-0.01,0.029,-0.083,-0.083,-0.107,-0.049,-0.029
0.084,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.034,-0.078,-0.083,-0.107,-0.054,-0.029
0.086,-0.005,-0.005,0.0,0.005,-0.005,-0.005,0.034,-0.073,-0.083,-0.107,-0.054,-0.029
0.088,-0.005,-0.02,-0.015,0.015,0.005,-0.02,0.034,-0.078,-0.083,-0.112,-0.059,-0.034
0.09,-0.034,-0.034,0.0,0.034,-0.02,-0.02,0.029,-0.083,-0.098,-0.117,-0.063,-0.034
0.092,-0.049,-0.029,0.02,0.039,-0.034,-0.005,0.029,-0.073,-0.098,-0.122,-0.063,-0.039
0.094,-0.034,-0.024,0.01,0.029,-0.024,-0.01,0.034,-0.068,-0.098,-0.117,-0.049,-0.044
0.096,-0.044,-0.024,0.02,0.034,-0.034,-0.005,0.034,-0.068,-0.093,-0.112,-0.049,-0.039
0.098,-0.034,-0.015,0.02,0.024,-0.029,0.0,0.029,-0.073,-0.093,-0.117,-0.054,-0.034
0.1,-0.02,-0.01,0.01,0.015,-0.015,0.0,0.024,-0.078,-0.093,-0.122,-0.054,-0.039
0.102,-0.029,-0.024,0.005,0.029,-0.02,-0.01,0.029,-0.078,-0.098,-0.122,-0.049,-0.034
0.104,-0.024,-0.02,0.005,0.024,-0.015,-0.01,0.039,-0.073,-0.093,-0.117,-0.049,-0.034
0.106,-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.039,-0.068,-0.088,-0.112,-0.039,-0.024
0.108,-0.015,-0.024,-0.01,0.02,-0.005,-0.02,0.039,-0.073,-0.088,-0.112,-0.039,-0.034
0.11,0.01,-0.015,-0.024,0.005,0.015,-0.02,0.034,-0.073,-0.098,-0.122,-0.044,-0.029
0.112,0.0,-0.015,-0.015,0.01,0.005,-0.015,0.044,-0.068,-0.098,-0.122,-0.039,-0.029
0.114,-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.039,-0.073,-0.098,-0.117,-0.039,-0.039
0.116,-0.034,-0.015,0.02,0.024,-0.029,0.0,0.039,-0.073,-0.098,-0.117,-0.039,-0.039
0.118,-0.044,-0.015,0.029,0.029,-0.039,0.005,0.039,-0.073,-0.098,-0.112,-0.044,-0.034
0.12,-0.044,-0.02,0.024,0.034,-0.034,0.0,0.029,-0.078,-0.098,-0.117,-0.044,-0.044
0.122,-0.039,-0.02,0.02,0.029,-0.029,0.0,0.039,-0.078,-0.088,-0.102,-0.039,-0.039
0.124,-0.034,-0.02,0.015,0.029,-0.024,-0.005,0.034,-0.078,-0.093,-0.102,-0.044,-0.034
0.126,-0.01,-0.015,-0.005,0.015,-0.005,-0.01,0.034,-0.078,-0.093,-0.102,-0.039,-0.029
0.128,-0.015,-0.015,0.0,0.015,-0.01,-0.01,0.034,-0.078,-0.083,-0.102,-0.034,-0.029
0.13,-0.01,-0.015,-0.005,0.015,-0.005,-0.01,0.024,-0.093,-0.098,-0.112,-0.049,-0.039
0.132,-0.02,-0.015,0.005,0.02,-0.015,-0.005,0.024,-0.083,-0.098,-0.112,-0.049,-0.029
0.134,-0.039,-0.029,0.01,0.034,-0.024,-0.01,0.029,-0.088,-0.098,-0.112,-0.049,-0.039
0.136,-0.044,-0.015,0.029,0.029,-0.039,0.005,0.034,-0.078,-0.098,-0.107,-0.044,-0.034
