time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.024,0.073,0.049,-0.049,-0.015,0.059,-0.063,-0.102,-0.093,-0.078,-0.063,0.068
0.002,0.029,0.063,0.034,-0.044,-0.005,0.049,-0.054,-0.098,-0.088,-0.078,-0.063,0.068
0.004,0.02,0.068,0.049,-0.044,-0.015,0.059,-0.044,-0.093,-0.083,-0.063,-0.054,0.073
0.006,0.015,0.078,0.063,-0.044,-0.024,0.068,-0.039,-0.093,-0.078,-0.039,-0.049,0.068
0.008,-0.015,0.068,0.083,-0.024,-0.049,0.073,-0.024,-0.078,-0.073,-0.049,-0.039,0.078
0.01,-0.034,0.059,0.093,-0.01,-0.063,0.073,-0.024,-0.083,-0.068,-0.029,-0.039,0.068
0.012,-0.015,0.073,0.088,-0.029,-0.054,0.078,-0.024,-0.088,-0.078,-0.068,-0.063,0.049
0.014,-0.015,0.073,0.088,-0.029,-0.054,0.078,-0.024,-0.088,-0.083,-0.054,-0.073,0.049
0.016,-0.034,0.054,0.088,-0.01,-0.063,0.068,-0.029,-0.083,-0.083,-0.059,-0.063,0.054
0.018,-0.034,0.063,0.098,-0.015,-0.068,0.078,-0.024,-0.073,-0.068,-0.078,-0.068,0.039
0.02,-0.039,0.078,0.117,-0.02,-0.078,0.098,-0.02,-0.073,-0.068,-0.088,-0.083,0.049
0.022,-0.015,0.083,0.098,-0.034,-0.059,0.088,-0.015,-0.068,-0.059,-0.098,-0.068,0.078
0.024,0.01,0.098,0.088,-0.054,-0.039,0.093,-0.015,-0.073,-0.068,-0.107,-0.083,0.068
0.026,0.005,0.093,0.088,-0.049,-0.044,0.088,-0.015,-0.078,-0.073,-0.107,-0.098,0.054
0.028,-0.005,0.078,0.083,-0.034,-0.044,0.078,-0.01,-0.078,-0.073,-0.102,-0.098,0.068
0.03,0.024,0.063,0.039,-0.044,-0.01,0.049,-0.029,-0.088,-0.088,-0.117,-0.117,0.073
0.032,0.068,0.068,0.0,-0.068,0.034,0.034,-0.044,-0.102,-0.102,-0.122,-0.142,0.049
0.034,0.054,0.073,0.02,-0.063,0.015,0.044,-0.034,-0.088,-0.102,-0.112,-0.117,0.02
0.036,-0.02,0.068,0.088,-0.024,-0.054,0.078,-0.02,-0.068,-0.073,-0.088,-0.102,0.063
0.038,-0.059,0.068,0.127,-0.005,-0.093,0.098,-0.005,-0.054,-0.054,-0.054,-0.088,0.102
0.04,-0.073,0.073,0.146,0.0,-0.112,0.107,0.005,-0.044,-0.044,-0.044,-0.088,0.093
0.042,-0.098,0.059,0.156,0.02,-0.127,0.107,0.005,-0.039,-0.049,-0.039,-0.083,0.093
0.044,-0.063,0.063,0.127,0.0,-0.098,0.093,0.015,-0.034,-0.039,-0.015,-0.078,0.093
0.046,-0.054,0.073,0.127,-0.01,-0.093,0.098,0.01,-0.039,-0.049,0.02,-0.083,0.102
0.048,-0.039,0.068,0.107,-0.015,-0.073,0.088,0.015,-0.029,-0.044,-0.054,-0.073,0.132
0.05,-0.005,0.073,0.078,-0.034,-0.044,0.073,0.0,-0.044,-0.059,-0.073,-0.088,0.093
0.052,0.005,0.078,0.073,-0.039,-0.034,0.073,0.0,-0.049,-0.059,-0.073,-0.098,0.083
0.054,0.005,0.088,0.083,-0.044,-0.039,0.083,0.0,-0.034,-0.059,-0.093,-0.098,0.059
0.056,-0.024,0.073,0.098,-0.024,-0.063,0.083,0.0,-0.029,-0.049,-0.093,-0.088,0.059
0.058,-0.039,0.063,0.102,-0.01,-0.073,0.083,-0.005,-0.024,-0.044,-0.073,-0.093,0.059
0.06,0.0,0.073,0.073,-0.034,-0.039,0.073,-0.015,-0.044,-0.063,-0.083,-0.117,0.049
0.062,0.015,0.059,0.044,-0.034,-0.015,0.049,-0.02,-0.044,-0.068,-0.083,-0.122,0.034
0.064,0.024,0.054,0.029,-0.039,-0.005,0.039,-0.029,-0.054,-0.068,-0.098,-0.137,0.01
0.066,0.024,0.044,0.02,-0.034,0.0,0.029,-0.024,-0.049,-0.073,-0.102,-0.146,0.01
0.068,-0.024,0.049,0.073,-0.01,-0.049,0.059,-0.005,-0.024,-0.044,-0.088,-0.122,0.034
0.07,-0.029,0.059,0.088,-0.015,-0.059,0.073,0.01,-0.005,-0.029,-0.083,-0.117,0.039
0.072,-0.044,0.068,0.112,-0.01,-0.078,0.088,0.01,0.0,-0.024,-0.083,-0.122,0.059
0.074,-0.063,0.088,0.151,-0.01,-0.107,0.117,0.029,0.01,-0.015,-0.049,-0.107,0.083
0.076,-0.024,0.107,0.132,-0.039,-0.078,0.117,0.005,0.005,-0.015,-0.063,-0.122,0.044
0.078,-0.039,0.073,0.112,-0.015,-0.078,0.093,-0.01,-0.01,-0.034,-0.078,-0.117,0.049
0.08,-0.034,0.088,0.122,-0.024,-0.078,0.102,-0.005,-0.005,-0.024,-0.063,-0.102,0.039
0.082,-0.034,0.088,0.122,-0.024,-0.078,0.102,-0.005,0.0,-0.015,-0.039,-0.112,0.039
0.084,-0.01,0.073,0.083,-0.029,-0.049,0.078,-0.029,-0.024,-0.034,-0.044,-0.137,0.029
0.086,0.029,0.078,0.049,-0.054,-0.01,0.063,-0.034,-0.039,-0.049,-0.088,-0.151,0.029
0.088,0.034,0.083,0.049,-0.059,-0.01,0.063,-0.034,-0.034,-0.054,-0.088,-0.151,0.039
0.09,0.02,0.083,0.063,-0.049,-0.024,0.073,-0.024,-0.02,-0.044,-0.093,-0.137,0.049
0.092,-0.024,0.083,0.107,-0.029,-0.068,0.093,-0.015,-0.005,-0.024,-0.059,-0.127,0.063
0.094,-0.073,0.073,0.146,0.0,-0.112,0.107,0.0,0.01,-0.024,-0.063,-0.132,0.059
0.096,-0.059,0.083,0.142,-0.01,-0.102,0.112,0.005,0.02,-0.02,-0.073,-0.137,0.039
0.098,-0.034,0.068,0.102,-0.015,-0.068,0.083,-0.01,0.005,-0.024,-0.068,-0.151,0.024
0.1,-0.005,0.044,0.049,-0.02,-0.029,0.044,-0.029,-0.015,-0.044,-0.078,-0.161,0.02
