time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-0.049,-0.176,-0.127,0.112,0.039,-0.151,0.029,0.049,-0.244,-0.02,-0.478,0.947
0.002,-0.049,-0.176,-0.127,0.112,0.039,-0.151,0.029,0.049,-0.244,-0.02,-0.478,0.947
0.004,-0.049,-0.176,-0.127,0.112,0.039,-0.151,0.029,0.049,-0.244,-0.02,-0.478,0.947
0.006,-0.049,-0.176,-0.127,0.112,0.039,-0.151,0.029,0.049,-0.244,-0.02,-0.478,0.947
0.008,-0.034,-0.161,-0.127,0.098,0.044,-0.146,0.068,0.132,-0.185,0.005,-0.478,0.937
0.01,-0.029,-0.146,-0.117,0.088,0.044,-0.132,0.098,0.205,-0.137,0.02,-0.478,0.927
0.012,-0.024,-0.132,-0.107,0.078,0.039,-0.122,0.127,0.278,-0.088,0.034,-0.478,0.917
0.014,-0.02,-0.117,-0.098,0.068,0.039,-0.107,0.156,0.351,-0.039,0.049,-0.478,0.908
0.016,0.034,-0.054,-0.088,0.01,0.059,-0.073,0.146,0.415,0.088,0.166,-0.381,0.976
0.018,0.078,0.01,-0.068,-0.044,0.073,-0.029,0.137,0.478,0.205,0.283,-0.293,1.035
0.02,0.122,0.073,-0.049,-0.098,0.083,0.01,0.127,0.542,0.322,0.4,-0.205,1.093
0.022,0.166,0.137,-0.029,-0.151,0.098,0.054,0.117,0.605,0.439,0.517,-0.117,1.152
0.024,0.234,0.264,0.029,-0.249,0.102,0.146,0.015,0.464,0.556,0.717,0.088,1.322
0.026,0.303,0.39,0.088,-0.346,0.107,0.239,-0.088,0.322,0.664,0.917,0.293,1.493
0.028,0.371,0.517,0.146,-0.444,0.112,0.332,-0.19,0.181,0.771,1.118,0.498,1.664
0.03,0.439,0.644,0.205,-0.542,0.117,0.425,-0.293,0.039,0.878,1.318,0.703,1.835
0.032,0.468,0.747,0.278,-0.605,0.093,0.512,-0.386,-0.2,0.825,1.415,0.844,1.967
0.034,0.498,0.849,0.351,-0.673,0.073,0.6,-0.478,-0.439,0.781,1.503,0.976,2.098
0.036,0.527,0.952,0.425,-0.737,0.049,0.688,-0.571,-0.678,0.737,1.591,1.108,2.23
0.038,0.556,1.054,0.498,-0.805,0.029,0.776,-0.664,-0.917,0.693,1.679,1.24,2.362
